GEOID,B01003_001_Population
421010152005,824
421010152002,1505
421010153004,1410
421010153002,423
421010153001,1092
421010118006,410
421010118005,1345
421010119004,566
421010118003,1606
421010118004,679
421010119005,427
421010119003,1016
421010139002,851
421010023002,1838
421010041012,1923
421010041013,1314
421010041014,1701
421010042022,1255
421010042023,1654
421010055003,3613
421010055002,906
421010069001,1642
421010069002,608
421010077002,720
421010070003,724
421010070002,480
421010070005,749
421010080004,1210
421010080003,814
421010329005,824
421010329001,456
421010329003,1172
421010348022,1287
421010348021,2846
421010348033,659
421010348032,2366
421010240004,883
421010240003,275
421010240002,1049
421010281002,1127
421010309003,1516
421010309002,1239
421010320003,1158
421010320005,1117
421010320007,663
421010320001,822
421010320002,780
421010342001,1322
421010015001,942
421010063002,804
421010282002,2022
421010282003,2035
421010282001,904
421010063003,1265
421010063004,1817
421010208001,1653
421010209003,675
421010209001,838
421010209004,719
421010209002,523
421010207002,1067
421010207004,1534
421010207003,1702
421010184002,1535
421010319001,1042
421010319005,1728
421010319003,858
421010330007,529
421010330003,1450
421010330004,2154
421010330005,1416
421010330002,795
421010340002,1145
421010340001,1100
421010346001,2470
421010348012,1462
421010281001,2411
421010283001,784
421010283003,641
421010283006,958
421010283007,606
421010283004,1415
421010308002,1161
421010308003,1877
421010310007,1193
421010308001,820
421010310006,1438
421010310005,1115
421010310001,765
421010310003,619
421010310004,1493
421010310002,963
421010333001,1652
421010333003,1079
421010333002,1637
421010336005,1173
421010029001,1137
421010029003,1902
421010037023,920
421010037021,1662
421010140003,1231
421010073001,489
421010073003,307
421010073004,868
421010079003,1637
421010079002,1451
421010085002,1280
421010085005,1463
421010085003,933
421010085004,481
421010061002,705
421010061001,2155
421010084006,585
421010084001,1175
421010084005,962
421010031003,606
421010147002,1463
421010147001,976
421010085007,1308
421010096001,1069
421010096003,794
421010096005,732
421010096004,1223
421010178005,716
421010197004,946
421010197005,1381
421010197006,1398
421010197003,1082
421010200002,834
421010108001,587
421010145002,774
421010108002,645
421010108004,1131
421010108005,745
421010341003,968
421010146001,2576
421010146003,838
421010146002,977
421010148001,824
421010149005,796
421010149003,478
421010149006,652
421010149002,330
421010149004,379
421010149001,953
421010211001,1271
421010261001,858
421010261003,1504
421010261002,844
421010272003,1435
421010275001,1906
421010275002,1431
421010275004,1159
421010280001,747
421010280003,1317
421010294001,875
421010294003,1651
421010266001,632
421010266002,1055
421010266008,955
421010266004,1215
421010266007,612
421010104003,1358
421010169023,1542
421010171003,1175
421010171004,837
421010171001,934
421010171002,1062
421010007002,1890
421010007003,972
421010007001,872
421010255002,972
421010255001,1058
421010256002,883
421010256003,841
421010256001,895
421010263012,833
421010263014,704
421010263013,853
421010270002,1970
421010247001,1069
421010247004,857
421010247005,461
421010247002,763
421010104001,615
421010132001,1107
421010132002,1432
421010269002,1266
421010292003,1162
421010292001,2927
421010313004,1591
421010313001,1117
421010313002,1775
421010313005,1141
421010313003,1070
421010313006,1073
421010325002,2022
421010325004,1220
421010325003,2431
421010325001,700
421010014001,1633
421010014002,586
421010064002,1305
421010064003,1929
421010065001,468
421010065003,1032
421010065004,788
421010065005,641
421010066002,414
421010066001,936
421010091002,917
421010091003,1299
421010142001,1086
421010142002,3393
421010161002,1713
421010161003,775
421010169011,1082
421010169013,1165
421010174001,1401
421010174002,1119
421010101003,2169
421010101002,455
421010101001,1576
421010101006,1039
421010143001,1094
421010018002,2335
421010301004,514
421010137004,957
421010137001,1107
421010137005,1154
421010137003,1160
421010137002,648
421010115002,1316
421010115003,1477
421010115004,699
421010120001,513
421010121001,1304
421010121002,1830
421010166001,1247
421010113001,1267
421010113002,619
421010114001,2263
421010021002,1672
421010021001,616
421010257003,1103
421010257002,775
421010038004,922
421010038003,737
421010038002,1015
421010125002,2518
421010125003,1210
421010210001,1033
421010210002,457
421010210003,1105
421010347021,2123
421010347022,746
421010347023,899
421010266006,924
421010105002,2208
421010003001,817
421010005001,2471
421010024004,659
421010024003,1312
421010024002,1466
421010037011,330
421010037015,791
421010037012,1239
421010093004,760
421010093003,954
421010321002,1259
421010321001,1833
421010214001,923
421010214005,876
421010214002,885
421010214003,704
421010349004,1241
421010349002,2343
421010103001,1740
421010103002,764
421010105001,278
421010036002,1435
421010036004,988
421010036003,2529
421010170003,805
421010170001,1596
421010101004,1183
421010101005,461
421010101007,445
421010107001,766
421010107004,874
421010107002,1563
421010107003,495
421010133002,1311
421010135001,573
421010133001,2148
421010135002,567
421010135004,2051
421010341002,1405
421010341005,964
421010341004,1045
421010351002,2172
421010353012,2425
421010353011,2730
421010360001,3304
421010199002,1105
421010199003,824
421010204003,697
421010204001,707
421010204004,637
421010014003,1952
421010287001,1701
421010291004,901
421010291001,572
421010291002,2183
421010326001,1011
421010326007,629
421010326006,1312
421010301001,427
421010301002,2480
421010301005,1518
421010301003,776
421010114005,1619
421010114003,909
421010114006,811
421010114002,334
421010117001,2043
421010131001,849
421010131002,734
421010300007,1400
421010300003,1066
421010300004,1434
421010300005,702
421010300002,598
421010188004,843
421010188007,2230
421010188001,1505
421010188003,1182
421010188005,326
421010191002,886
421010191004,1785
421010191006,414
421010191005,2594
421010176011,457
421010176012,649
421010176014,1393
421010352003,1509
421010352001,2217
421010173001,876
421010173002,1769
421010175002,1000
421010175006,986
421010175005,1146
421010175003,1297
421010175001,2202
421010176021,1657
421010176022,891
421010176023,1850
421010253004,942
421010253002,594
421010253005,731
421010253001,1224
421010238002,554
421010238001,701
421010238004,716
421010259001,812
421010259006,391
421010259004,718
421010259005,910
421010290004,2095
421010290003,3202
421010290002,2257
421010326002,844
421010326003,1538
421010326005,425
421010332001,1775
421010332002,1062
421010338003,524
421010338005,1234
421010338001,2920
421010338004,806
421010344004,2374
421010344001,1269
421010347012,2466
421010347011,2843
421010010012,1072
421010010021,1410
421010010023,1295
